OsmesisApp,ID,DataRate_Sec,StopDataGeneration_Sec,IoTDevice,IoTDeviceOutputData_Mb,MELName,OsmesisEdgelet_MI,MELOutputData_Mb,VmName,OsmesisCloudlet_MI
App_1,1,10,3600,temperature_1,90,MEL_1,250,70,VM_1,200
App_2,2,10,3600,temperature_2,90,MEL_1,250,70,VM_1,200
App_3,3,10,3600,temperature_3,90,MEL_1,250,70,VM_1,200
App_4,4,10,3600,temperature_4,90,MEL_1,250,70,VM_2,200
App_5,5,10,3600,temperature_5,90,MEL_1,250,70,VM_2,200
App_6,6,10,3600,temperature_6,90,MEL_2,250,70,VM_2,200
App_7,7,10,3600,temperature_7,90,MEL_2,250,70,VM_2,200
App_8,8,10,3600,temperature_8,90,MEL_2,250,70,VM_2,200
App_9,9,10,3600,temperature_9,90,MEL_2,250,70,VM_1,200
App_10,10,10,3600,temperature_10,90,MEL_2,250,70,VM_1,200
